"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE022","Site",3,49,0.0612244897959184
"SITE101","Site",0,117,0
"SITE1102","Site",2,111,0.018018018018018
"SITE1233","Site",3,106,0.0283018867924528
"SITE1257","Site",4,298,0.0134228187919463
"SITE1273","Site",1,21,0.0476190476190476
"SITE1544","Site",1,107,0.00934579439252336
"SITE1727","Site",2,195,0.0102564102564103
"SITE1748","Site",3,125,0.024
"SITE1750","Site",7,389,0.0179948586118252
"SITE1786","Site",2,169,0.0118343195266272
"SITE180","Site",6,365,0.0164383561643836
"SITE1841","Site",1,23,0.0434782608695652
"SITE1910","Site",5,247,0.0202429149797571
"SITE1934","Site",2,67,0.0298507462686567
"SITE1935","Site",0,26,0
"SITE1982","Site",6,307,0.0195439739413681
"SITE2030","Site",0,5,0
"SITE2062","Site",0,4,0
"SITE213","Site",21,1006,0.0208747514910537
"SITE216","Site",2,258,0.00775193798449612
"SITE2170","Site",5,536,0.00932835820895522
"SITE2192","Site",18,1005,0.017910447761194
"SITE2323","Site",3,381,0.0078740157480315
"SITE2354","Site",1,53,0.0188679245283019
"SITE2373","Site",0,183,0
"SITE2532","Site",5,583,0.00857632933104631
"SITE2883","Site",1,123,0.00813008130081301
"SITE2894","Site",1,39,0.0256410256410256
"SITE2901","Site",10,262,0.0381679389312977
"SITE2923","Site",1,30,0.0333333333333333
"SITE2980","Site",0,166,0
"SITE2986","Site",8,367,0.0217983651226158
"SITE3068","Site",2,102,0.0196078431372549
"SITE3077","Site",1,52,0.0192307692307692
"SITE3081","Site",10,603,0.0165837479270315
"SITE3090","Site",3,268,0.0111940298507463
"SITE3289","Site",4,413,0.00968523002421308
"SITE3319","Site",1,194,0.00515463917525773
"SITE3353","Site",5,113,0.0442477876106195
"SITE3415","Site",2,174,0.0114942528735632
"SITE3719","Site",2,163,0.0122699386503067
"SITE3754","Site",2,144,0.0138888888888889
"SITE3759","Site",1,28,0.0357142857142857
"SITE3839","Site",4,72,0.0555555555555556
"SITE3871","Site",0,40,0
"SITE3909","Site",6,516,0.0116279069767442
"SITE3938","Site",4,165,0.0242424242424242
"SITE3989","Site",6,350,0.0171428571428571
"SITE4028","Site",1,24,0.0416666666666667
"SITE404","Site",1,121,0.00826446280991736
"SITE4072","Site",1,177,0.00564971751412429
"SITE4155","Site",1,35,0.0285714285714286
"SITE4260","Site",6,259,0.0231660231660232
"SITE4264","Site",4,296,0.0135135135135135
"SITE4275","Site",0,28,0
"SITE4314","Site",7,284,0.0246478873239437
"SITE4323","Site",13,977,0.0133060388945752
"SITE4424","Site",1,24,0.0416666666666667
"SITE4485","Site",5,800,0.00625
"SITE4543","Site",2,52,0.0384615384615385
"SITE4590","Site",5,666,0.00750750750750751
"SITE4597","Site",3,47,0.0638297872340425
"SITE4612","Site",0,6,0
"SITE4629","Site",9,521,0.017274472168906
"SITE4671","Site",1,43,0.0232558139534884
"SITE4703","Site",1,17,0.0588235294117647
"SITE4744","Site",0,6,0
"SITE4754","Site",1,30,0.0333333333333333
"SITE4874","Site",1,255,0.00392156862745098
"SITE4875","Site",0,28,0
"SITE4959","Site",11,645,0.0170542635658915
"SITE4976","Site",0,6,0
"SITE5033","Site",8,461,0.017353579175705
"SITE5062","Site",2,120,0.0166666666666667
"SITE5185","Site",0,10,0
"SITE5217","Site",0,4,0
"SITE5289","Site",0,36,0
"SITE5384","Site",10,539,0.0185528756957328
"SITE5425","Site",2,89,0.0224719101123595
"SITE5611","Site",4,169,0.0236686390532544
"SITE5895","Site",10,497,0.0201207243460765
"SITE6068","Site",0,11,0
"SITE6123","Site",1,19,0.0526315789473684
"SITE6155","Site",0,63,0
"SITE6184","Site",1,59,0.0169491525423729
"SITE6384","Site",1,158,0.00632911392405063
"SITE6405","Site",4,450,0.00888888888888889
"SITE6410","Site",2,214,0.00934579439252336
"SITE6440","Site",0,2,0
"SITE6572","Site",2,71,0.028169014084507
"SITE6603","Site",14,579,0.0241796200345423
"SITE6832","Site",0,122,0
"SITE6900","Site",5,436,0.0114678899082569
"SITE6991","Site",2,49,0.0408163265306122
"SITE7004","Site",5,376,0.0132978723404255
"SITE7011","Site",10,433,0.023094688221709
"SITE7096","Site",5,160,0.03125
"SITE7184","Site",1,217,0.00460829493087558
"SITE7208","Site",2,91,0.021978021978022
"SITE7246","Site",0,25,0
"SITE7543","Site",1,32,0.03125
"SITE759","Site",5,361,0.0138504155124654
"SITE7604","Site",2,161,0.0124223602484472
"SITE7734","Site",0,10,0
"SITE7809","Site",3,434,0.00691244239631336
"SITE7838","Site",0,32,0
"SITE7860","Site",0,37,0
"SITE7913","Site",2,24,0.0833333333333333
"SITE7983","Site",5,497,0.0100603621730382
"SITE8084","Site",1,38,0.0263157894736842
"SITE8091","Site",1,308,0.00324675324675325
"SITE8210","Site",3,299,0.0100334448160535
"SITE8351","Site",10,580,0.0172413793103448
"SITE8354","Site",2,250,0.008
"SITE8361","Site",0,14,0
"SITE8420","Site",8,236,0.0338983050847458
"SITE8517","Site",2,450,0.00444444444444444
"SITE8616","Site",0,27,0
"SITE8625","Site",4,809,0.00494437577255871
"SITE8627","Site",1,15,0.0666666666666667
"SITE8633","Site",2,431,0.00464037122969838
"SITE8764","Site",1,246,0.0040650406504065
"SITE8768","Site",1,107,0.00934579439252336
"SITE8786","Site",6,457,0.0131291028446389
"SITE8788","Site",5,367,0.0136239782016349
"SITE8799","Site",20,857,0.0233372228704784
"SITE8835","Site",1,172,0.00581395348837209
"SITE8857","Site",0,73,0
"SITE8997","Site",3,49,0.0612244897959184
"SITE9082","Site",0,20,0
"SITE9142","Site",8,1116,0.00716845878136201
"SITE9147","Site",1,45,0.0222222222222222
"SITE9346","Site",14,794,0.017632241813602
"SITE9360","Site",12,576,0.0208333333333333
"SITE9395","Site",0,35,0
"SITE9414","Site",5,250,0.02
"SITE9418","Site",1,45,0.0222222222222222
"SITE9516","Site",0,42,0
"SITE958","Site",13,665,0.0195488721804511
"SITE9580","Site",2,361,0.00554016620498615
"SITE9604","Site",4,127,0.031496062992126
"SITE9661","Site",4,274,0.0145985401459854
"SITE9737","Site",7,441,0.0158730158730159
"SITE9766","Site",1,21,0.0476190476190476
"SITE9858","Site",2,90,0.0222222222222222
"SITE9884","Site",1,61,0.0163934426229508
"SITE9888","Site",0,107,0
