"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score","Flag","Weight","WeightMax"
"SITE8351","Site",8,17,0.470588235294118,0.238805970149254,1.06464363394893,2.17236229372045,1,8,16
"SITE4874","Site",7,14,0.5,0.238805970149254,1.06464363394893,2.22154367797165,1,8,16
"SITE5289","Site",3,4,0.75,0.238805970149254,1.06464363394893,2.3240387302921,1,8,16
"SITE9082","Site",3,4,0.75,0.238805970149254,1.06464363394893,2.3240387302921,1,8,16
"SITE7208","Site",6,10,0.6,0.238805970149254,1.06464363394893,2.59637940653554,1,8,16
"SITE101","Site",5,7,0.714285714285714,0.238805970149254,1.06464363394893,2.85962202175736,1,8,16
"SITE213","Site",0,12,0,0.238805970149254,1.06464363394893,-1.88045695048118,0,0,16
"SITE4485","Site",0,11,0,0.238805970149254,1.06464363394893,-1.8004004593595,0,0,16
"SITE2170","Site",0,10,0,0.238805970149254,1.06464363394893,-1.71661448365986,0,0,16
"SITE4072","Site",0,9,0,0.238805970149254,1.06464363394893,-1.62852348983972,0,0,16
"SITE4323","Site",1,15,0.0666666666666667,0.238805970149254,1.06464363394893,-1.51549065753449,0,0,16
"SITE1727","Site",0,7,0,0.238805970149254,1.06464363394893,-1.43622271944764,0,0,16
"SITE8768","Site",0,7,0,0.238805970149254,1.06464363394893,-1.43622271944764,0,0,16
"SITE7983","Site",1,14,0.0714285714285714,0.238805970149254,1.06464363394893,-1.4236014589451,0,0,16
"SITE8799","Site",1,14,0.0714285714285714,0.238805970149254,1.06464363394893,-1.4236014589451,0,0,16
"SITE4590","Site",1,13,0.0769230769230769,0.238805970149254,1.06464363394893,-1.32678400220187,0,0,16
"SITE3081","Site",1,12,0.0833333333333333,0.238805970149254,1.06464363394893,-1.22425582713619,0,0,16
"SITE958","Site",1,12,0.0833333333333333,0.238805970149254,1.06464363394893,-1.22425582713619,0,0,16
"SITE2894","Site",0,5,0,0.238805970149254,1.06464363394893,-1.21382974207893,0,0,16
"SITE3719","Site",0,5,0,0.238805970149254,1.06464363394893,-1.21382974207893,0,0,16
"SITE6184","Site",0,5,0,0.238805970149254,1.06464363394893,-1.21382974207893,0,0,16
"SITE6384","Site",0,5,0,0.238805970149254,1.06464363394893,-1.21382974207893,0,0,16
"SITE8835","Site",0,5,0,0.238805970149254,1.06464363394893,-1.21382974207893,0,0,16
"SITE1102","Site",0,4,0,0.238805970149254,1.06464363394893,-1.08568232655981,0,0,16
"SITE7860","Site",0,4,0,0.238805970149254,1.06464363394893,-1.08568232655981,0,0,16
"SITE9858","Site",0,4,0,0.238805970149254,1.06464363394893,-1.08568232655981,0,0,16
"SITE2192","Site",2,16,0.125,0.238805970149254,1.06464363394893,-1.03479096750232,0,0,16
"SITE3871","Site",0,3,0,0.238805970149254,1.06464363394893,-0.940228475240591,0,0,16
"SITE6572","Site",0,3,0,0.238805970149254,1.06464363394893,-0.940228475240591,0,0,16
"SITE7838","Site",0,3,0,0.238805970149254,1.06464363394893,-0.940228475240591,0,0,16
"SITE4314","Site",1,9,0.111111111111111,0.238805970149254,1.06464363394893,-0.870807699428184,0,0,16
"SITE2532","Site",2,14,0.142857142857143,0.238805970149254,1.06464363394893,-0.816077269458973,0,0,16
"SITE8625","Site",2,14,0.142857142857143,0.238805970149254,1.06464363394893,-0.816077269458973,0,0,16
"SITE3353","Site",1,8,0.125,0.238805970149254,1.06464363394893,-0.73170771023148,0,0,16
"SITE3909","Site",1,8,0.125,0.238805970149254,1.06464363394893,-0.73170771023148,0,0,16
"SITE3989","Site",1,8,0.125,0.238805970149254,1.06464363394893,-0.73170771023148,0,0,16
"SITE6900","Site",1,8,0.125,0.238805970149254,1.06464363394893,-0.73170771023148,0,0,16
"SITE7809","Site",1,8,0.125,0.238805970149254,1.06464363394893,-0.73170771023148,0,0,16
"SITE4959","Site",2,13,0.153846153846154,0.238805970149254,1.06464363394893,-0.696326355765522,0,0,16
"SITE9142","Site",3,18,0.166666666666667,0.238805970149254,1.06464363394893,-0.695722085138129,0,0,16
"SITE1233","Site",1,7,0.142857142857143,0.238805970149254,1.06464363394893,-0.577053771206641,0,0,16
"SITE3839","Site",1,7,0.142857142857143,0.238805970149254,1.06464363394893,-0.577053771206641,0,0,16
"SITE8420","Site",1,7,0.142857142857143,0.238805970149254,1.06464363394893,-0.577053771206641,0,0,16
