"StudyID","GroupLevel","GroupID","MetricID","SnapshotDate","SnapshotDate_Previous","Numerator","Denominator","Metric","Score","Flag","Numerator_Previous","Denominator_Previous","Metric_Previous","Score_Previous","Flag_Previous","Numerator_Change","Denominator_Change","Metric_Change","Score_Change","Flag_Change","Numerator_PercentChange","Denominator_PercentChange","Metric_PercentChange","Score_PercentChange","Flag_PercentChange"
"AA-AA-000-0000","Country","Japan","Analysis_cou0001",2012-05-24,2012-03-29,698,9742,0.0716485321289263,-0.691456498093875,0,689,7381,0.093347784853001,-0.641180114666912,0,9,2361,-0.0216992527240747,-0.0502763834269629,0,1.30624092888244,31.9875355642867,-23.2456000517265,7.84122624468495,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0002",2012-05-24,2012-03-29,125,9742,0.0128310408540341,-1.09869107899869,-1,124,7381,0.0167998916136025,-1.11793457515476,-1,1,2361,-0.00396885075956842,0.0192434961560681,0,0.806451612903226,31.9875355642867,-23.6242640777214,-1.72134368000955,0
"AA-AA-000-0000","Country","Japan","Analysis_cou0003",2012-05-24,2012-03-29,338,9742,0.0346951344693082,1.26798200054293,0,338,7381,0.0457932529467552,1.30949116699875,0,0,2361,-0.0110981184774471,-0.0415091664558216,0,0,31.9875355642867,-24.2352699650996,-3.16986990839788,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0004",2012-05-24,2012-03-29,346,9742,0.0355163210839663,1.26774308373641,0,346,7381,0.0468771169218263,1.31207885841325,0,0,2361,-0.01136079583786,-0.0443357746768438,0,0,31.9875355642867,-24.2352699650996,-3.37904801929823,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0005",2012-05-24,2012-03-29,188,16240,0.011576354679803,-1.07435299913268,0,125,14880,0.0084005376344086,-0.984372578948849,0,63,1360,0.00317581704539436,-0.0899804201838265,0,50.4,9.13978494623656,37.8049261083744,9.14089056400891,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0006",2012-05-24,2012-03-29,46,216,0.212962962962963,1.28174654011941,0,38,215,0.176744186046512,0.831195855605493,0,8,1,0.036218776916451,0.450550684513916,0,21.0526315789474,0.465116279069767,20.4922027290446,54.2051168175891,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0007",2012-05-24,2012-03-29,67,216,0.310185185185185,1.40410803062316,0,52,215,0.241860465116279,0.700733940657521,0,15,1,0.0683247200689062,0.703374089965639,0,28.8461538461538,0.465116279069767,28.2496438746439,100.376769149449,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0008",2012-05-24,2012-03-29,37036,161000,0.230037267080745,0.102673942897849,0,37036,161000,0.230037267080745,0.102673942897849,0,0,0,3.33066907387547e-16,-4.57966997657877e-16,0,0,0,1.44788238712051e-13,-4.46040139038501e-13,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0009",2012-05-24,2012-03-29,33968,37036,0.917161680527055,1.3657815865581,0,33968,37036,0.917161680527055,1.3657815865581,0,0,0,-3.33066907387547e-16,-4.44089209850063e-16,0,0,0,-3.63149610869206e-14,-3.25153900316675e-14,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0010",2012-05-24,2012-03-29,7480,148144,0.0504914137595853,1.41129927605381,0,7480,148144,0.0504914137595853,1.41129927605381,0,0,0,-3.46944695195361e-17,4.88498130835069e-15,0,0,0,-6.8713602840938e-14,3.46133622487909e-13,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0011",2012-05-24,2012-03-29,41982,161000,0.260757763975155,-0.791459868002364,0,41982,161000,0.260757763975155,-0.791459868002364,0,0,0,2.77555756156289e-16,4.44089209850063e-16,0,0,0,1.06441991189468e-13,-5.61101361931261e-14,NA
"AA-AA-000-0000","Country","Japan","Analysis_cou0012",2012-05-24,2012-03-29,74,290,0.255172413793103,1.44494986151402,0,74,289,0.256055363321799,1.44733578389918,0,0,1,-0.000882949528695554,-0.00238592238516033,0,0,0.346020761245675,-0.344827586206777,-0.164849263847575,NA
