"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score","Flag","Weight","WeightMax"
"SITE7983","Site",0,13,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4959","Site",0,11,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1727","Site",0,7,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2986","Site",0,7,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3989","Site",0,7,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6900","Site",0,7,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6405","Site",0,6,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8517","Site",0,6,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8788","Site",0,6,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2373","Site",0,5,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6384","Site",0,5,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7096","Site",0,5,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8091","Site",0,5,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8625","Site",1,12,0.0833333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1934","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3068","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3938","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6410","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7208","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7860","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9395","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9858","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9884","Site",0,4,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2532","Site",1,11,0.0909090909090909,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE958","Site",1,11,0.0909090909090909,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1841","Site",0,3,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2923","Site",0,3,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3871","Site",0,3,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6155","Site",0,3,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6572","Site",0,3,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7004","Site",1,9,0.111111111111111,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE101","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1935","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4155","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4612","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4703","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4744","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4875","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6123","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7246","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7543","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8627","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9888","Site",0,2,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2192","Site",2,14,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4323","Site",2,14,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8786","Site",1,8,0.125,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1273","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2030","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2062","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3759","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4754","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4976","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE5217","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE5289","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6440","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8361","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8616","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9082","Site",0,1,0,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE180","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3289","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3353","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3909","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4629","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7809","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8768","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9661","Site",1,7,0.142857142857143,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3081","Site",2,11,0.181818181818182,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4485","Site",2,11,0.181818181818182,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE759","Site",1,6,0.166666666666667,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8354","Site",1,6,0.166666666666667,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9737","Site",1,6,0.166666666666667,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9142","Site",3,15,0.2,0.228947368421053,1.10031361208247,-0.254382151031269,0,0,32
"SITE5033","Site",2,10,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1257","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1910","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3090","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3319","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3719","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE5062","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6184","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE6832","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8835","Site",1,5,0.2,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4072","Site",2,9,0.222222222222222,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE5895","Site",2,9,0.222222222222222,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE8351","Site",2,9,0.222222222222222,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE022","Site",1,4,0.25,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1102","Site",1,4,0.25,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2980","Site",1,4,0.25,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3754","Site",1,4,0.25,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9516","Site",1,4,0.25,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE216","Site",2,8,0.25,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE1750","Site",2,7,0.285714285714286,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE4874","Site",2,7,0.285714285714286,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2354","Site",1,3,0.333333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2883","Site",1,3,0.333333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE404","Site",1,3,0.333333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE7838","Site",1,3,0.333333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE9418","Site",1,3,0.333333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE2170","Site",3,10,0.3,0.228947368421053,1.10031361208247,0.50981438429854,0,0,32
"SITE2323","Site",2,6,0.333333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
"SITE3839","Site",2,6,0.333333333333333,0.228947368421053,1.10031361208247,NA,NA,NA,32
