"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE022","Site",3,7,0.428571428571429
"SITE101","Site",5,7,0.714285714285714
"SITE1102","Site",0,4,0
"SITE1233","Site",1,7,0.142857142857143
"SITE1257","Site",3,8,0.375
"SITE1273","Site",1,2,0.5
"SITE1544","Site",0,2,0
"SITE1727","Site",0,7,0
"SITE1748","Site",3,10,0.3
"SITE1750","Site",2,9,0.222222222222222
"SITE1786","Site",3,8,0.375
"SITE180","Site",2,9,0.222222222222222
"SITE1841","Site",2,5,0.4
"SITE1910","Site",1,6,0.166666666666667
"SITE1934","Site",1,5,0.2
"SITE1935","Site",0,2,0
"SITE1982","Site",2,7,0.285714285714286
"SITE2030","Site",1,2,0.5
"SITE2062","Site",1,2,0.5
"SITE213","Site",0,11,0
"SITE216","Site",2,10,0.2
"SITE2170","Site",0,10,0
"SITE2192","Site",2,16,0.125
"SITE2323","Site",4,10,0.4
"SITE2354","Site",1,4,0.25
"SITE2373","Site",3,8,0.375
"SITE2532","Site",2,13,0.153846153846154
"SITE2657","Site",2,2,1
"SITE2883","Site",2,5,0.4
"SITE2894","Site",0,5,0
"SITE2901","Site",2,6,0.333333333333333
"SITE2923","Site",1,4,0.25
"SITE2980","Site",1,5,0.2
"SITE2986","Site",3,10,0.3
"SITE3068","Site",2,6,0.333333333333333
"SITE3077","Site",1,4,0.25
"SITE3081","Site",1,12,0.0833333333333333
"SITE3090","Site",1,6,0.166666666666667
"SITE3289","Site",3,10,0.3
"SITE3319","Site",2,7,0.285714285714286
"SITE3353","Site",1,8,0.125
"SITE3415","Site",3,7,0.428571428571429
"SITE3719","Site",0,5,0
"SITE3754","Site",2,6,0.333333333333333
"SITE3759","Site",1,2,0.5
"SITE3839","Site",1,7,0.142857142857143
"SITE3871","Site",0,3,0
"SITE3909","Site",1,8,0.125
"SITE3938","Site",3,7,0.428571428571429
"SITE3989","Site",1,8,0.125
"SITE4028","Site",3,5,0.6
"SITE404","Site",1,4,0.25
"SITE4072","Site",0,9,0
"SITE4155","Site",1,3,0.333333333333333
"SITE4260","Site",4,12,0.333333333333333
"SITE4264","Site",1,6,0.166666666666667
"SITE4275","Site",2,3,0.666666666666667
"SITE4314","Site",1,9,0.111111111111111
"SITE4323","Site",1,15,0.0666666666666667
"SITE4424","Site",0,2,0
"SITE4485","Site",0,11,0
"SITE4543","Site",1,4,0.25
"SITE4590","Site",1,13,0.0769230769230769
"SITE4597","Site",1,4,0.25
"SITE4612","Site",0,2,0
"SITE4629","Site",4,11,0.363636363636364
"SITE4671","Site",1,3,0.333333333333333
"SITE4703","Site",0,2,0
"SITE4744","Site",2,4,0.5
"SITE4754","Site",2,3,0.666666666666667
"SITE4874","Site",7,14,0.5
"SITE4875","Site",1,3,0.333333333333333
"SITE4959","Site",2,13,0.153846153846154
"SITE4976","Site",1,2,0.5
"SITE4980","Site",1,1,1
"SITE5033","Site",3,13,0.230769230769231
"SITE5062","Site",1,6,0.166666666666667
"SITE5185","Site",0,1,0
"SITE5217","Site",1,2,0.5
"SITE5289","Site",3,4,0.75
"SITE5384","Site",4,11,0.363636363636364
"SITE5425","Site",0,2,0
"SITE5611","Site",3,9,0.333333333333333
"SITE5895","Site",5,14,0.357142857142857
"SITE6068","Site",0,2,0
"SITE6123","Site",0,2,0
"SITE6155","Site",2,5,0.4
"SITE6184","Site",0,5,0
"SITE6384","Site",0,5,0
"SITE6405","Site",2,8,0.25
"SITE6410","Site",4,8,0.5
"SITE6440","Site",0,1,0
"SITE6572","Site",0,3,0
"SITE6603","Site",2,11,0.181818181818182
"SITE6832","Site",1,6,0.166666666666667
"SITE6900","Site",1,8,0.125
"SITE6991","Site",1,4,0.25
"SITE7004","Site",2,11,0.181818181818182
"SITE7011","Site",2,8,0.25
"SITE7096","Site",1,6,0.166666666666667
"SITE7184","Site",2,7,0.285714285714286
"SITE7208","Site",6,10,0.6
"SITE7246","Site",2,4,0.5
"SITE7543","Site",1,3,0.333333333333333
"SITE759","Site",3,9,0.333333333333333
"SITE7604","Site",1,5,0.2
"SITE7734","Site",0,2,0
"SITE7809","Site",1,8,0.125
"SITE7838","Site",0,3,0
"SITE7860","Site",0,4,0
"SITE7913","Site",0,2,0
"SITE7983","Site",1,14,0.0714285714285714
"SITE8084","Site",0,2,0
"SITE8091","Site",5,10,0.5
"SITE8210","Site",2,8,0.25
"SITE8351","Site",8,17,0.470588235294118
"SITE8354","Site",2,8,0.25
"SITE8361","Site",0,1,0
"SITE8420","Site",1,7,0.142857142857143
"SITE8517","Site",2,8,0.25
"SITE8616","Site",1,2,0.5
"SITE8625","Site",2,14,0.142857142857143
"SITE8627","Site",0,2,0
"SITE8633","Site",1,7,0.142857142857143
"SITE8764","Site",2,6,0.333333333333333
"SITE8768","Site",0,7,0
"SITE8786","Site",5,13,0.384615384615385
"SITE8788","Site",1,7,0.142857142857143
"SITE8799","Site",1,14,0.0714285714285714
"SITE8835","Site",0,5,0
"SITE8857","Site",1,3,0.333333333333333
"SITE8997","Site",2,7,0.285714285714286
"SITE9082","Site",3,4,0.75
"SITE9142","Site",3,18,0.166666666666667
"SITE9147","Site",2,4,0.5
"SITE9346","Site",3,14,0.214285714285714
"SITE9360","Site",2,11,0.181818181818182
"SITE9395","Site",1,5,0.2
"SITE9414","Site",2,9,0.222222222222222
"SITE9418","Site",1,4,0.25
"SITE9516","Site",1,5,0.2
"SITE958","Site",1,12,0.0833333333333333
"SITE9580","Site",4,9,0.444444444444444
"SITE9604","Site",1,6,0.166666666666667
"SITE9661","Site",2,9,0.222222222222222
"SITE9737","Site",4,10,0.4
"SITE9766","Site",0,2,0
"SITE9858","Site",0,4,0
"SITE9884","Site",1,5,0.2
"SITE9888","Site",1,3,0.333333333333333
