"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"S50664","Subject",3,1,3,3,2
"S52979","Subject",3,1,3,3,2
"S53524","Subject",3,1,3,3,2
"S36177","Subject",2,1,2,2,1
"S56853","Subject",2,1,2,2,1
"S10169","Subject",1,1,1,1,1
"S15734","Subject",1,1,1,1,1
"S16216","Subject",1,1,1,1,1
"S1663","Subject",1,1,1,1,1
"S17427","Subject",1,1,1,1,1
"S17499","Subject",1,1,1,1,1
"S18875","Subject",1,1,1,1,1
"S19678","Subject",1,1,1,1,1
"S20971","Subject",1,1,1,1,1
"S25117","Subject",1,1,1,1,1
"S26237","Subject",1,1,1,1,1
"S30541","Subject",1,1,1,1,1
"S31403","Subject",1,1,1,1,1
"S33412","Subject",1,1,1,1,1
"S34327","Subject",1,1,1,1,1
"S34830","Subject",1,1,1,1,1
"S35058","Subject",1,1,1,1,1
"S35306","Subject",1,1,1,1,1
"S35500","Subject",1,1,1,1,1
"S38694","Subject",1,1,1,1,1
"S40145","Subject",1,1,1,1,1
"S40230","Subject",1,1,1,1,1
"S41703","Subject",1,1,1,1,1
"S43487","Subject",1,1,1,1,1
"S46204","Subject",1,1,1,1,1
"S46333","Subject",1,1,1,1,1
"S46390","Subject",1,1,1,1,1
"S48813","Subject",1,1,1,1,1
"S50953","Subject",1,1,1,1,1
"S51092","Subject",1,1,1,1,1
"S5140","Subject",1,1,1,1,1
"S51782","Subject",1,1,1,1,1
"S52631","Subject",1,1,1,1,1
"S5524","Subject",1,1,1,1,1
"S56618","Subject",1,1,1,1,1
"S6022","Subject",1,1,1,1,1
"S61441","Subject",1,1,1,1,1
"S62190","Subject",1,1,1,1,1
"S63470","Subject",1,1,1,1,1
"S67390","Subject",1,1,1,1,1
"S68947","Subject",1,1,1,1,1
"S6947","Subject",1,1,1,1,1
"S7173","Subject",1,1,1,1,1
"S7193","Subject",1,1,1,1,1
"S74519","Subject",1,1,1,1,1
"S78130","Subject",1,1,1,1,1
"S79133","Subject",1,1,1,1,1
"S80104","Subject",1,1,1,1,1
"S80235","Subject",1,1,1,1,1
"S81289","Subject",1,1,1,1,1
"S83309","Subject",1,1,1,1,1
"S84892","Subject",1,1,1,1,1
"S85511","Subject",1,1,1,1,1
"S87114","Subject",1,1,1,1,1
"S88306","Subject",1,1,1,1,1
"S89142","Subject",1,1,1,1,1
"S92789","Subject",1,1,1,1,1
"S92817","Subject",1,1,1,1,1
"S93256","Subject",1,1,1,1,1
"S98343","Subject",1,1,1,1,1
"S98371","Subject",1,1,1,1,1
"S98650","Subject",1,1,1,1,1
"S99475","Subject",1,1,1,1,1
"S10582","Subject",0,1,0,0,0
"S10821","Subject",0,1,0,0,0
"S11585","Subject",0,1,0,0,0
"S12402","Subject",0,1,0,0,0
"S12454","Subject",0,1,0,0,0
"S12584","Subject",0,1,0,0,0
"S13289","Subject",0,1,0,0,0
"S13582","Subject",0,1,0,0,0
"S13713","Subject",0,1,0,0,0
"S13810","Subject",0,1,0,0,0
"S14046","Subject",0,1,0,0,0
"S14201","Subject",0,1,0,0,0
"S14454","Subject",0,1,0,0,0
"S15030","Subject",0,1,0,0,0
"S15521","Subject",0,1,0,0,0
"S15727","Subject",0,1,0,0,0
"S16470","Subject",0,1,0,0,0
"S17064","Subject",0,1,0,0,0
"S18113","Subject",0,1,0,0,0
"S18924","Subject",0,1,0,0,0
"S19156","Subject",0,1,0,0,0
"S19380","Subject",0,1,0,0,0
"S19484","Subject",0,1,0,0,0
"S19752","Subject",0,1,0,0,0
"S19776","Subject",0,1,0,0,0
"S21191","Subject",0,1,0,0,0
"S2143","Subject",0,1,0,0,0
"S21446","Subject",0,1,0,0,0
"S21491","Subject",0,1,0,0,0
"S22140","Subject",0,1,0,0,0
"S22366","Subject",0,1,0,0,0
"S22379","Subject",0,1,0,0,0
"S22961","Subject",0,1,0,0,0
"S23112","Subject",0,1,0,0,0
"S23519","Subject",0,1,0,0,0
"S23661","Subject",0,1,0,0,0
"S24389","Subject",0,1,0,0,0
"S24457","Subject",0,1,0,0,0
"S24661","Subject",0,1,0,0,0
"S24778","Subject",0,1,0,0,0
"S24790","Subject",0,1,0,0,0
"S25158","Subject",0,1,0,0,0
"S25190","Subject",0,1,0,0,0
"S25706","Subject",0,1,0,0,0
"S25810","Subject",0,1,0,0,0
"S26422","Subject",0,1,0,0,0
"S26836","Subject",0,1,0,0,0
"S27013","Subject",0,1,0,0,0
"S27345","Subject",0,1,0,0,0
"S27507","Subject",0,1,0,0,0
"S28476","Subject",0,1,0,0,0
"S28543","Subject",0,1,0,0,0
"S2856","Subject",0,1,0,0,0
"S28631","Subject",0,1,0,0,0
"S28722","Subject",0,1,0,0,0
"S28760","Subject",0,1,0,0,0
"S2969","Subject",0,1,0,0,0
"S29898","Subject",0,1,0,0,0
"S29917","Subject",0,1,0,0,0
"S2994","Subject",0,1,0,0,0
"S31222","Subject",0,1,0,0,0
"S3179","Subject",0,1,0,0,0
"S32148","Subject",0,1,0,0,0
"S32331","Subject",0,1,0,0,0
"S32336","Subject",0,1,0,0,0
"S32805","Subject",0,1,0,0,0
"S3285","Subject",0,1,0,0,0
"S32854","Subject",0,1,0,0,0
"S32856","Subject",0,1,0,0,0
"S33152","Subject",0,1,0,0,0
"S33371","Subject",0,1,0,0,0
"S33491","Subject",0,1,0,0,0
"S33604","Subject",0,1,0,0,0
"S33697","Subject",0,1,0,0,0
"S33779","Subject",0,1,0,0,0
"S33945","Subject",0,1,0,0,0
"S34157","Subject",0,1,0,0,0
"S34410","Subject",0,1,0,0,0
"S34463","Subject",0,1,0,0,0
"S34465","Subject",0,1,0,0,0
"S349","Subject",0,1,0,0,0
"S3492","Subject",0,1,0,0,0
"S35204","Subject",0,1,0,0,0
"S3546","Subject",0,1,0,0,0
"S3548","Subject",0,1,0,0,0
"S35834","Subject",0,1,0,0,0
"S36762","Subject",0,1,0,0,0
"S36810","Subject",0,1,0,0,0
"S36886","Subject",0,1,0,0,0
"S37223","Subject",0,1,0,0,0
"S37519","Subject",0,1,0,0,0
"S37702","Subject",0,1,0,0,0
"S37821","Subject",0,1,0,0,0
"S38409","Subject",0,1,0,0,0
"S38681","Subject",0,1,0,0,0
"S38745","Subject",0,1,0,0,0
"S38785","Subject",0,1,0,0,0
"S38814","Subject",0,1,0,0,0
"S39000","Subject",0,1,0,0,0
"S39191","Subject",0,1,0,0,0
"S39259","Subject",0,1,0,0,0
"S40424","Subject",0,1,0,0,0
"S40868","Subject",0,1,0,0,0
"S41123","Subject",0,1,0,0,0
"S41298","Subject",0,1,0,0,0
"S41608","Subject",0,1,0,0,0
"S41688","Subject",0,1,0,0,0
"S41767","Subject",0,1,0,0,0
"S41890","Subject",0,1,0,0,0
"S42353","Subject",0,1,0,0,0
"S42358","Subject",0,1,0,0,0
"S42441","Subject",0,1,0,0,0
"S42591","Subject",0,1,0,0,0
"S42745","Subject",0,1,0,0,0
"S42753","Subject",0,1,0,0,0
"S42798","Subject",0,1,0,0,0
"S43101","Subject",0,1,0,0,0
"S43465","Subject",0,1,0,0,0
"S43474","Subject",0,1,0,0,0
"S43620","Subject",0,1,0,0,0
"S43843","Subject",0,1,0,0,0
"S44055","Subject",0,1,0,0,0
"S44160","Subject",0,1,0,0,0
"S44278","Subject",0,1,0,0,0
"S44543","Subject",0,1,0,0,0
"S44700","Subject",0,1,0,0,0
"S45190","Subject",0,1,0,0,0
"S45386","Subject",0,1,0,0,0
"S45628","Subject",0,1,0,0,0
"S46976","Subject",0,1,0,0,0
"S47153","Subject",0,1,0,0,0
"S47175","Subject",0,1,0,0,0
"S4725","Subject",0,1,0,0,0
"S47665","Subject",0,1,0,0,0
"S47700","Subject",0,1,0,0,0
"S4781","Subject",0,1,0,0,0
"S47824","Subject",0,1,0,0,0
"S48411","Subject",0,1,0,0,0
"S48812","Subject",0,1,0,0,0
"S49115","Subject",0,1,0,0,0
"S49125","Subject",0,1,0,0,0
"S49825","Subject",0,1,0,0,0
"S50153","Subject",0,1,0,0,0
"S50531","Subject",0,1,0,0,0
"S50779","Subject",0,1,0,0,0
"S51371","Subject",0,1,0,0,0
"S51380","Subject",0,1,0,0,0
"S5199","Subject",0,1,0,0,0
"S52428","Subject",0,1,0,0,0
"S52444","Subject",0,1,0,0,0
"S52552","Subject",0,1,0,0,0
"S53537","Subject",0,1,0,0,0
"S53614","Subject",0,1,0,0,0
"S53855","Subject",0,1,0,0,0
"S54437","Subject",0,1,0,0,0
"S54447","Subject",0,1,0,0,0
"S54677","Subject",0,1,0,0,0
"S55104","Subject",0,1,0,0,0
