"GroupLevel","GroupID","MetricID","Numerator","Denominator","Metric","Score","Flag"
"Site","SITE022","Analysis_srs0001",5,178,2.80898876404494,2.80898876404494,NA
"Site","SITE101","Analysis_srs0001",8,178,4.49438202247191,4.49438202247191,NA
"Site","SITE1102","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1233","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE1257","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1273","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1544","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1727","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1748","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1750","Analysis_srs0001",2,178,1.12359550561798,1.12359550561798,NA
"Site","SITE1786","Analysis_srs0001",2,178,1.12359550561798,1.12359550561798,NA
"Site","SITE180","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1841","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1910","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1934","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE1935","Analysis_srs0001",0,178,0,0,NA
"Site","SITE1982","Analysis_srs0001",2,178,1.12359550561798,1.12359550561798,NA
"Site","SITE2030","Analysis_srs0001",0,178,0,0,NA
"Site","SITE213","Analysis_srs0001",2,178,1.12359550561798,1.12359550561798,NA
"Site","SITE216","Analysis_srs0001",0,178,0,0,NA
"Site","SITE2170","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE2192","Analysis_srs0001",1,178,0.561797752808989,0.561797752808989,NA
"Site","SITE2323","Analysis_srs0001",18,178,10.1123595505618,10.1123595505618,NA
"Site","SITE2354","Analysis_srs0001",0,178,0,0,NA
"Site","SITE2373","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE2532","Analysis_srs0001",0,178,0,0,NA
"Site","SITE2883","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE2894","Analysis_srs0001",0,178,0,0,NA
"Site","SITE2901","Analysis_srs0001",9,178,5.0561797752809,5.0561797752809,NA
"Site","SITE2923","Analysis_srs0001",0,178,0,0,NA
"Site","SITE2980","Analysis_srs0001",0,178,0,0,NA
"Site","SITE2986","Analysis_srs0001",16,178,8.98876404494382,8.98876404494382,NA
"Site","SITE3068","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3077","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3081","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3090","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3289","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3319","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3353","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3415","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3719","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3754","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3759","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3839","Analysis_srs0001",4,178,2.24719101123596,2.24719101123596,NA
"Site","SITE3871","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3909","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3938","Analysis_srs0001",0,178,0,0,NA
"Site","SITE3989","Analysis_srs0001",0,178,0,0,NA
"Site","SITE4028","Analysis_srs0001",0,178,0,0,NA
"Site","SITE404","Analysis_srs0001",0,178,0,0,NA
