"GroupID","Param","Value","GroupLevel"
"37728","studyid","AA-AA-000-0000","Site"
"37728","invid","37728","Site"
"37728","InvestigatorFirstName","Fred","Site"
"37728","InvestigatorLastName","Smith","Site"
"37728","site_status","Active","Site"
"37728","site_active_dt","2012-01-01","Site"
"37728","City","Kumamoto","Site"
"37728","State","Kumamoto Prefecture","Site"
"37728","Country","Japan","Site"
"2392","studyid","AA-AA-000-0000","Site"
"2392","invid","2392","Site"
"2392","InvestigatorFirstName","Fred","Site"
"2392","InvestigatorLastName","Deer","Site"
"2392","site_status","Active","Site"
"2392","site_active_dt","2012-01-01","Site"
"2392","City","Milton Keynes","Site"
"2392","State","Buckinghamshire","Site"
"2392","Country","UK","Site"
"8560","studyid","AA-AA-000-0000","Site"
"8560","invid","8560","Site"
"8560","InvestigatorFirstName","John","Site"
"8560","InvestigatorLastName","Deer","Site"
"8560","site_status","Active","Site"
"8560","site_active_dt","2012-01-01","Site"
"8560","City","Tokyo","Site"
"8560","State","Kanto","Site"
"8560","Country","Japan","Site"
"22677","studyid","AA-AA-000-0000","Site"
"22677","invid","22677","Site"
"22677","InvestigatorFirstName","Joanne","Site"
"22677","InvestigatorLastName","Deer","Site"
"22677","site_status","Active","Site"
"22677","site_active_dt","2012-01-01","Site"
"22677","City","Kumamoto","Site"
"22677","State","Kumamoto Prefecture","Site"
"22677","Country","Japan","Site"
"4695","studyid","AA-AA-000-0000","Site"
"4695","invid","4695","Site"
"4695","InvestigatorFirstName","Joanne","Site"
"4695","InvestigatorLastName","Doe","Site"
"4695","site_status","Active","Site"
"4695","site_active_dt","2012-01-01","Site"
"4695","City","Tokyo","Site"
"4695","State","Kanto","Site"
"4695","Country","Japan","Site"
"34713","studyid","AA-AA-000-0000","Site"
"34713","invid","34713","Site"
"34713","InvestigatorFirstName","John","Site"
"34713","InvestigatorLastName","Doe","Site"
"34713","site_status","Active","Site"
"34713","site_active_dt","2012-01-01","Site"
"34713","City","Milton Keynes","Site"
"34713","State","Buckinghamshire","Site"
"34713","Country","UK","Site"
"17808","studyid","AA-AA-000-0000","Site"
"17808","invid","17808","Site"
"17808","InvestigatorFirstName","John","Site"
"17808","InvestigatorLastName","Smith","Site"
"17808","site_status","Active","Site"
"17808","site_active_dt","2012-01-01","Site"
"17808","City","Newtown Square","Site"
"17808","State","PA","Site"
