"GroupID","Param","Value","GroupLevel"
"AA-AA-000-0000","studyid","AA-AA-000-0000","Study"
"AA-AA-000-0000","nickname","OAK-38","Study"
"AA-AA-000-0000","protocol_title","Protocol Title P","Study"
"AA-AA-000-0000","status","Active","Study"
"AA-AA-000-0000","num_plan_site","150","Study"
"AA-AA-000-0000","num_plan_subj","1000","Study"
"AA-AA-000-0000","act_fpfv","2012-01-02","Study"
"AA-AA-000-0000","est_fpfv","2012-01-07","Study"
"AA-AA-000-0000","est_lplv","2012-07-22","Study"
"AA-AA-000-0000","est_lpfv","2012-03-24","Study"
"AA-AA-000-0000","db_lock_dt","2012-03-29","Study"
"AA-AA-000-0000","therapeutic_area","Virology","Study"
"AA-AA-000-0000","protocol_indication","Hematology","Study"
"AA-AA-000-0000","phase","P2","Study"
"AA-AA-000-0000","product","Product Name 14","Study"
"AA-AA-000-0000","SiteTarget","150","Study"
"AA-AA-000-0000","ParticipantTarget","1000","Study"
"AA-AA-000-0000","ParticipantCount","765","Study"
"AA-AA-000-0000","SiteCount","148","Study"
"AA-AA-000-0000","PercentSitesActivated","98.7","Study"
"AA-AA-000-0000","SiteActivation","148 / 150 (98.7%)","Study"
"AA-AA-000-0000","PercentParticipantsEnrolled","76.5","Study"
"AA-AA-000-0000","ParticipantEnrollment","765 / 1000 (76.5%)","Study"
"SITE9360","studyid","AA-AA-000-0000","Site"
"SITE9360","invid","SITE9360","Site"
"SITE9360","InvestigatorFirstName","Fred","Site"
"SITE9360","InvestigatorLastName","Smith","Site"
"SITE9360","site_status","Active","Site"
"SITE9360","site_active_dt","2012-01-01","Site"
"SITE9360","City","Kumamoto","Site"
"SITE9360","State","Kumamoto Prefecture","Site"
"SITE9360","Country","Japan","Site"
"SITE958","studyid","AA-AA-000-0000","Site"
"SITE958","invid","SITE958","Site"
"SITE958","InvestigatorFirstName","Fred","Site"
"SITE958","InvestigatorLastName","Deer","Site"
"SITE958","site_status","Active","Site"
"SITE958","site_active_dt","2012-01-01","Site"
"SITE958","City","Milton Keynes","Site"
"SITE958","State","Buckinghamshire","Site"
"SITE958","Country","UK","Site"
"SITE2170","studyid","AA-AA-000-0000","Site"
"SITE2170","invid","SITE2170","Site"
"SITE2170","InvestigatorFirstName","John","Site"
"SITE2170","InvestigatorLastName","Deer","Site"
"SITE2170","site_status","Active","Site"
"SITE2170","site_active_dt","2012-01-01","Site"
"SITE2170","City","Tokyo","Site"
"SITE2170","State","Kanto","Site"
"SITE2170","Country","Japan","Site"
"SITE5895","studyid","AA-AA-000-0000","Site"
"SITE5895","invid","SITE5895","Site"
"SITE5895","InvestigatorFirstName","Joanne","Site"
"SITE5895","InvestigatorLastName","Deer","Site"
"SITE5895","site_status","Active","Site"
"SITE5895","site_active_dt","2012-01-01","Site"
"SITE5895","City","Kumamoto","Site"
"SITE5895","State","Kumamoto Prefecture","Site"
"SITE5895","Country","Japan","Site"
"SITE1257","studyid","AA-AA-000-0000","Site"
"SITE1257","invid","SITE1257","Site"
"SITE1257","InvestigatorFirstName","Joanne","Site"
"SITE1257","InvestigatorLastName","Doe","Site"
"SITE1257","site_status","Active","Site"
"SITE1257","site_active_dt","2012-01-01","Site"
"SITE1257","City","Tokyo","Site"
"SITE1257","State","Kanto","Site"
"SITE1257","Country","Japan","Site"
"SITE8799","studyid","AA-AA-000-0000","Site"
"SITE8799","invid","SITE8799","Site"
"SITE8799","InvestigatorFirstName","John","Site"
"SITE8799","InvestigatorLastName","Doe","Site"
"SITE8799","site_status","Active","Site"
"SITE8799","site_active_dt","2012-01-01","Site"
"SITE8799","City","Milton Keynes","Site"
"SITE8799","State","Buckinghamshire","Site"
"SITE8799","Country","UK","Site"
"SITE4590","studyid","AA-AA-000-0000","Site"
"SITE4590","invid","SITE4590","Site"
"SITE4590","InvestigatorFirstName","John","Site"
"SITE4590","InvestigatorLastName","Smith","Site"
"SITE4590","site_status","Active","Site"
"SITE4590","site_active_dt","2012-01-01","Site"
"SITE4590","City","Newtown Square","Site"
"SITE4590","State","PA","Site"
"SITE4590","Country","US","Site"
"SITE4629","studyid","AA-AA-000-0000","Site"
"SITE4629","invid","SITE4629","Site"
"SITE4629","InvestigatorFirstName","John","Site"
"SITE4629","InvestigatorLastName","Doe","Site"
"SITE4629","site_status","Active","Site"
"SITE4629","site_active_dt","2012-01-01","Site"
"SITE4629","City","Tokyo","Site"
"SITE4629","State","Kanto","Site"
"SITE4629","Country","Japan","Site"
"SITE9346","studyid","AA-AA-000-0000","Site"
"SITE9346","invid","SITE9346","Site"
"SITE9346","InvestigatorFirstName","John","Site"
"SITE9346","InvestigatorLastName","Doe","Site"
"SITE9346","site_status","Active","Site"
"SITE9346","site_active_dt","2012-01-01","Site"
"SITE9346","City","London","Site"
"SITE9346","State","Greater London","Site"
"SITE9346","Country","UK","Site"
"SITE2901","studyid","AA-AA-000-0000","Site"
"SITE2901","invid","SITE2901","Site"
"SITE2901","InvestigatorFirstName","Joanne","Site"
"SITE2901","InvestigatorLastName","Doe","Site"
"SITE2901","site_status","Active","Site"
"SITE2901","site_active_dt","2012-01-01","Site"
"SITE2901","City","Foster City","Site"
"SITE2901","State","CA","Site"
"SITE2901","Country","US","Site"
"SITE9737","studyid","AA-AA-000-0000","Site"
"SITE9737","invid","SITE9737","Site"
"SITE9737","InvestigatorFirstName","Joanne","Site"
"SITE9737","InvestigatorLastName","Doe","Site"
"SITE9737","site_status","Active","Site"
"SITE9737","site_active_dt","2012-01-01","Site"
"SITE9737","City","Kumamoto","Site"
"SITE9737","State","Kumamoto Prefecture","Site"
"SITE9737","Country","Japan","Site"
"SITE9142","studyid","AA-AA-000-0000","Site"
"SITE9142","invid","SITE9142","Site"
"SITE9142","InvestigatorFirstName","Joanne","Site"
"SITE9142","InvestigatorLastName","Smith","Site"
"SITE9142","site_status","Active","Site"
"SITE9142","site_active_dt","2012-01-01","Site"
"SITE9142","City","Kumamoto","Site"
"SITE9142","State","Kumamoto Prefecture","Site"
"SITE9142","Country","Japan","Site"
"SITE3989","studyid","AA-AA-000-0000","Site"
"SITE3989","invid","SITE3989","Site"
"SITE3989","InvestigatorFirstName","Fred","Site"
"SITE3989","InvestigatorLastName","Smith","Site"
"SITE3989","site_status","Active","Site"
"SITE3989","site_active_dt","2012-01-01","Site"
"SITE3989","City","Newtown Square","Site"
"SITE3989","State","PA","Site"
"SITE3989","Country","US","Site"
"SITE9580","studyid","AA-AA-000-0000","Site"
"SITE9580","invid","SITE9580","Site"
"SITE9580","InvestigatorFirstName","Joanne","Site"
"SITE9580","InvestigatorLastName","Deer","Site"
"SITE9580","site_status","Active","Site"
"SITE9580","site_active_dt","2012-01-01","Site"
"SITE9580","City","London","Site"
"SITE9580","State","Greater London","Site"
"SITE9580","Country","UK","Site"
"SITE9858","studyid","AA-AA-000-0000","Site"
"SITE9858","invid","SITE9858","Site"
"SITE9858","InvestigatorFirstName","Joanne","Site"
"SITE9858","InvestigatorLastName","Doe","Site"
"SITE9858","site_status","Active","Site"
"SITE9858","site_active_dt","2012-01-01","Site"
"SITE9858","City","Milton Keynes","Site"
"SITE9858","State","Buckinghamshire","Site"
"SITE9858","Country","UK","Site"
"SITE8786","studyid","AA-AA-000-0000","Site"
"SITE8786","invid","SITE8786","Site"
"SITE8786","InvestigatorFirstName","Fred","Site"
"SITE8786","InvestigatorLastName","Deer","Site"
"SITE8786","site_status","Active","Site"
"SITE8786","site_active_dt","2012-01-01","Site"
"SITE8786","City","Foster City","Site"
"SITE8786","State","CA","Site"
"SITE8786","Country","US","Site"
"SITE8625","studyid","AA-AA-000-0000","Site"
"SITE8625","invid","SITE8625","Site"
"SITE8625","InvestigatorFirstName","Fred","Site"
"SITE8625","InvestigatorLastName","Deer","Site"
"SITE8625","site_status","Active","Site"
"SITE8625","site_active_dt","2012-01-01","Site"
"SITE8625","City","Newtown Square","Site"
"SITE8625","State","PA","Site"
"SITE8625","Country","US","Site"
"SITE6900","studyid","AA-AA-000-0000","Site"
"SITE6900","invid","SITE6900","Site"
"SITE6900","InvestigatorFirstName","Fred","Site"
"SITE6900","InvestigatorLastName","Deer","Site"
"SITE6900","site_status","Active","Site"
"SITE6900","site_active_dt","2012-01-01","Site"
"SITE6900","City","Tokyo","Site"
"SITE6900","State","Kanto","Site"
"SITE6900","Country","Japan","Site"
"SITE759","studyid","AA-AA-000-0000","Site"
"SITE759","invid","SITE759","Site"
"SITE759","InvestigatorFirstName","John","Site"
"SITE759","InvestigatorLastName","Smith","Site"
"SITE759","site_status","Active","Site"
"SITE759","site_active_dt","2012-01-01","Site"
"SITE759","City","Foster City","Site"
"SITE759","State","CA","Site"
"SITE759","Country","US","Site"
"SITE3289","studyid","AA-AA-000-0000","Site"
"SITE3289","invid","SITE3289","Site"
"SITE3289","InvestigatorFirstName","Joanne","Site"
"SITE3289","InvestigatorLastName","Deer","Site"
"SITE3289","site_status","Active","Site"
"SITE3289","site_active_dt","2012-01-01","Site"
"SITE3289","City","Foster City","Site"
"SITE3289","State","CA","Site"
"SITE3289","Country","US","Site"
"SITE1750","studyid","AA-AA-000-0000","Site"
"SITE1750","invid","SITE1750","Site"
"SITE1750","InvestigatorFirstName","Joanne","Site"
"SITE1750","InvestigatorLastName","Smith","Site"
"SITE1750","site_status","Active","Site"
"SITE1750","site_active_dt","2012-01-01","Site"
"SITE1750","City","Newtown Square","Site"
"SITE1750","State","PA","Site"
"SITE1750","Country","US","Site"
"SITE3909","studyid","AA-AA-000-0000","Site"
"SITE3909","invid","SITE3909","Site"
"SITE3909","InvestigatorFirstName","Fred","Site"
"SITE3909","InvestigatorLastName","Smith","Site"
