"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID","SnapshotDate","StudyID"
"UK","Country",864,8143,0.106103401694707,1.43776426858601,0,"Analysis_cou0001",2012-03-29,"AA-AA-000-0000"
"US","Country",1000,10683,0.0936066647945334,-0.722303238628385,0,"Analysis_cou0001",2012-03-29,"AA-AA-000-0000"
"Japan","Country",689,7381,0.093347784853001,-0.641180114666912,0,"Analysis_cou0001",2012-03-29,"AA-AA-000-0000"
"Japan","Country",124,7381,0.0167998916136025,-1.11793457515476,-1,"Analysis_cou0002",2012-03-29,"AA-AA-000-0000"
"UK","Country",176,8143,0.0216136559007737,1.30602453223724,0,"Analysis_cou0002",2012-03-29,"AA-AA-000-0000"
"US","Country",200,10683,0.0187213329589067,-0.211002859857513,0,"Analysis_cou0002",2012-03-29,"AA-AA-000-0000"
"Japan","Country",338,7381,0.0457932529467552,1.30949116699875,0,"Analysis_cou0003",2012-03-29,"AA-AA-000-0000"
"UK","Country",357,8143,0.0438413361169102,0.0505036905380381,0,"Analysis_cou0003",2012-03-29,"AA-AA-000-0000"
"US","Country",452,10683,0.0423102124871291,-1.13255563253833,0,"Analysis_cou0003",2012-03-29,"AA-AA-000-0000"
"Japan","Country",346,7381,0.0468771169218263,1.31207885841325,0,"Analysis_cou0004",2012-03-29,"AA-AA-000-0000"
"US","Country",474,10683,0.0443695591126088,-0.107964733004984,0,"Analysis_cou0004",2012-03-29,"AA-AA-000-0000"
"UK","Country",347,8143,0.0426132874861845,-1.12551885178888,0,"Analysis_cou0004",2012-03-29,"AA-AA-000-0000"
"US","Country",293,21424,0.0136762509335325,1.30925510956839,0,"Analysis_cou0005",2012-03-29,"AA-AA-000-0000"
"UK","Country",154,16160,0.00952970297029703,-0.562904684544957,0,"Analysis_cou0005",2012-03-29,"AA-AA-000-0000"
"Japan","Country",125,14880,0.0084005376344086,-0.984372578948849,0,"Analysis_cou0005",2012-03-29,"AA-AA-000-0000"
"Japan","Country",38,215,0.176744186046512,0.831195855605493,0,"Analysis_cou0006",2012-03-29,"AA-AA-000-0000"
